iter	RMSE
0	0.6881738898
1	0.6618555757
2	0.6383200623
3	0.6175572085
4	0.5995136914
5	0.5829780402
6	0.5684855444
7	0.5554076202
8	0.5442857583
9	0.5341308453
10	0.5250333706
11	0.5161866775
12	0.508740503
13	0.502524024
14	0.4962183199
15	0.4909264754
16	0.4859618593
17	0.4820142167
18	0.4772302036
19	0.4733905363
20	0.4701965736
21	0.4668436675
22	0.4638339242
23	0.4612794673
24	0.4584862554
25	0.4560957133
26	0.4540442537
27	0.4520436669
28	0.4503083979
29	0.448646035
30	0.4470041198
31	0.4457177373
32	0.444592268
33	0.4429722036
34	0.4417013762
35	0.440421533
36	0.4391146734
37	0.4378124182
38	0.4369798837
39	0.4363602902
40	0.4353615468
41	0.4342943842
42	0.4336343886
43	0.43276004
44	0.4320797406
45	0.4314384345
46	0.4309932509
47	0.4302093878
48	0.4293063791
49	0.4288726113
50	0.4281218908
51	0.4274290255
52	0.4269503016
53	0.42648332
54	0.4258566759
55	0.4253336207
56	0.4245668311
57	0.4238662521
58	0.4233982237
59	0.4229210612
60	0.4225796504
61	0.4222602338
62	0.4217065903
63	0.4212775574
64	0.4209431792
65	0.4204043097
66	0.4200857816
67	0.419673329
68	0.4194390701
69	0.4190461885
70	0.4188614223
71	0.4186216288
72	0.4183183017
73	0.4179614732
74	0.4177427167
75	0.417211183
76	0.4169260149
77	0.4167475118
78	0.4163088486
79	0.4160930287
80	0.4158817376
81	0.4155382227
82	0.4153361338
83	0.4151494084
84	0.414765913
85	0.4144225962
86	0.4142230752
87	0.4139804389
88	0.4137586646
89	0.4135128147
90	0.4132547852
91	0.4130486471
92	0.4128987804
93	0.4124630307
94	0.4122415196
95	0.4121119369
96	0.4119434481
97	0.411655815
98	0.4114921469
99	0.4111808052
100	0.4110250692
101	0.4107082851
102	0.4105065645
103	0.4102843856
104	0.4101253782
105	0.4100044305
106	0.4097427611
107	0.4096244594
108	0.4093668286
109	0.4092004403
110	0.4090472341
111	0.4088971871
112	0.4087150841
113	0.4086129764
114	0.4083626036
115	0.408227129
116	0.4080508816
117	0.4079342225
118	0.4078023468
119	0.40770727
120	0.4076294196
121	0.4074013564
122	0.4072601966
123	0.407061962
124	0.4069480815
125	0.4067040505
126	0.4065099406
127	0.4064385272
128	0.4062194722
129	0.4061339293
130	0.4059440184
131	0.4057951114
132	0.4056244946
133	0.4054376049
134	0.4051241349
135	0.4049558724
136	0.4047741333
137	0.4045900366
138	0.4045066524
139	0.4043631227
140	0.4042824495
141	0.4041405993
142	0.4040661766
143	0.4039588195
144	0.4038834471
145	0.4038082123
146	0.403690891
147	0.4035359363
148	0.4034012499
149	0.4032882198
