iter	Passed	Remaining
0	177	26381
1	217	16118
2	301	14749
3	349	12768
4	372	10812
5	392	9411
6	413	8452
7	434	7707
8	455	7141
9	475	6655
10	521	6594
11	542	6244
12	573	6041
13	595	5787
14	618	5564
15	648	5434
16	689	5390
17	726	5326
18	753	5193
19	777	5053
20	812	4993
21	859	5003
22	895	4942
23	915	4808
24	935	4678
25	960	4582
26	983	4480
27	1001	4362
28	1017	4244
29	1032	4129
30	1048	4023
31	1064	3926
32	1081	3834
33	1099	3752
34	1116	3669
35	1131	3583
36	1147	3505
37	1164	3431
38	1178	3354
39	1193	3281
40	1208	3213
41	1224	3148
42	1241	3090
43	1256	3027
44	1272	2969
45	1289	2916
46	1305	2859
47	1328	2823
48	1351	2784
49	1373	2747
50	1394	2706
51	1413	2663
52	1433	2624
53	1450	2579
54	1469	2538
55	1487	2496
56	1505	2457
57	1521	2413
58	1539	2374
59	1554	2331
60	1571	2292
61	1592	2259
62	1611	2224
63	1626	2185
64	1641	2146
65	1659	2112
66	1678	2079
67	1699	2049
68	1715	2013
69	1732	1980
70	1747	1944
71	1762	1909
72	1779	1877
73	1798	1847
74	1819	1819
75	1836	1788
76	1853	1757
77	1866	1723
78	1881	1691
79	1897	1659
80	1914	1630
81	1928	1599
82	1940	1566
83	1954	1535
84	1969	1505
85	1989	1480
86	2007	1453
87	2025	1426
88	2040	1398
89	2054	1369
90	2071	1342
91	2086	1315
92	2099	1287
93	2114	1259
94	2135	1236
95	2149	1209
96	2163	1181
97	2180	1156
98	2194	1130
99	2209	1104
100	2223	1078
101	2239	1053
102	2255	1029
103	2269	1003
104	2287	980
105	2303	956
106	2320	932
107	2336	908
108	2356	886
109	2377	864
110	2395	841
111	2412	818
112	2432	796
113	2448	773
114	2471	752
115	2491	730
116	2513	708
117	2530	686
118	2550	664
119	2571	642
120	2588	620
121	2605	598
122	2629	577
123	2657	557
124	2685	537
125	2706	515
126	2729	494
127	2744	471
128	2770	450
129	2784	428
130	2798	405
131	2810	383
132	2824	361
133	2838	338
134	2852	316
135	2870	295
136	2889	274
137	2904	252
138	2921	231
139	2935	209
140	2950	188
141	2963	166
142	2977	145
143	2995	124
144	3010	103
145	3024	82
146	3040	62
147	3055	41
148	3073	20
149	3094	0
